Uttar Pradesh,Saharanpur,Saharanpur,Onion,Red,FAQ,07/01/2019,1000.0,1100.0,1045.0,23
Rajasthan,Ajmer,Ajmer,Onion,Standard,A,30/01/2024,2790.0,3009.0,2904.0,49
Madhya Pradesh,Bhopal,Bhopal,Potato,Hybrid,Standard,02/06/2024,2069.0,2335.0,2259.0,30
Punjab,Patiala,Patiala,Maize,FAQ,A,06/03/2024,1917.0,2074.0,2002.0,27
Gujarat,Gandhinagar,Gandhinagar,Wheat,Local,FAQ,20/02/2024,2167.0,2506.0,2351.0,43
Madhya Pradesh,Jabalpur,Jabalpur,Onion,FAQ,Standard,10/03/2024,3282.0,3570.0,3442.0,22
Haryana,Karnal,Karnal,Onion,Standard,B,02/04/2024,3731.0,3912.0,3826.0,42
Rajasthan,Ajmer,Ajmer,Cotton,Hybrid,A,12/05/2024,6645.0,6932.0,6776.0,13
Haryana,Gurgaon,Gurgaon,Tomato,Premium,A,18/06/2024,4038.0,4300.0,4122.0,41
Haryana,Rohtak,Rohtak,Cotton,Premium,FAQ,20/01/2024,5784.0,5962.0,5886.0,25
Haryana,Gurgaon,Gurgaon,Onion,Premium,Standard,16/06/2024,3210.0,3424.0,3281.0,1
Punjab,Bathinda,Bathinda,Sugarcane,Standard,B,21/04/2024,-158.0,90.0,0.0,7
Rajasthan,Udaipur,Udaipur,Tomato,Hybrid,Standard,30/03/2024,4327.0,4495.0,4381.0,3
Gujarat,Gandhinagar,Gandhinagar,Wheat,FAQ,A,26/02/2024,1897.0,2066.0,1950.0,18
Haryana,Rohtak,Rohtak,Potato,Hybrid,B,15/03/2024,1359.0,1659.0,1540.0,12
Karnataka,Mysore,Mysore,Onion,Premium,Standard,24/04/2024,2570.0,2749.0,2672.0,44
Tamil Nadu,Coimbatore,Coimbatore,Onion,Premium,FAQ,16/05/2024,3776.0,4129.0,3960.0,49
Karnataka,Bangalore,Bangalore,Tomato,Local,FAQ,10/03/2024,4023.0,4243.0,4173.0,24
Rajasthan,Ajmer,Ajmer,Onion,Hybrid,B,23/03/2024,2897.0,3123.0,3009.0,8
Haryana,Gurgaon,Gurgaon,Onion,Local,A,28/01/2024,2588.0,2921.0,2768.0,1
Tamil Nadu,Tiruchirappalli,Tiruchirappalli,Wheat,Local,FAQ,31/01/2024,1769.0,2040.0,1952.0,42
Punjab,Bathinda,Bathinda,Maize,Local,A,28/05/2024,1449.0,1725.0,1562.0,48
Madhya Pradesh,Ujjain,Ujjain,Rice,Hybrid,FAQ,25/04/2024,2139.0,2318.0,2196.0,41
Punjab,Ludhiana,Ludhiana,Potato,Local,Premium,25/04/2024,1573.0,1816.0,1707.0,25
Uttar Pradesh,Allahabad,Allahabad,Cotton,FAQ,Standard,12/06/2024,6400.0,6740.0,6554.0,14
Karnataka,Belgaum,Belgaum,Potato,Local,Premium,06/06/2024,1344.0,1679.0,1541.0,41
Haryana,Faridabad,Faridabad,Potato,Hybrid,FAQ,03/02/2024,2146.0,2422.0,2299.0,3
West Bengal,Kolkata,Kolkata,Potato,Local,B,01/02/2024,1300.0,1456.0,1396.0,33
Tamil Nadu,Salem,Salem,Maize,Premium,B,07/01/2024,2081.0,2386.0,2274.0,4
Tamil Nadu,Chennai,Chennai,Rice,Hybrid,B,29/03/2024,3351.0,3508.0,3417.0,18
